,title,location,posted_on,deadline,details,institute,link,keyword,comb,exist
415,Assistant in the research and teaching staff group  in the Department of Management Research Methods at the Institute of Management and Quality Sciences at the Faculty of Economics of the UMCS,Poland,14 July 2025,15 Sep 2025 - 23:59 (Europe/Warsaw),R E K T O R OF THE UNIVERSITY OF MARIE CURIE-SKŁODOWSKA IN LUBLINannounces a competition for the post of assistant in the research and teaching staff group in the Department of Management Research Methods at the Institute of Management and Quality Sciencesat the Faculty of Economics of the UMCSThe...,MARIA CURIE-SKLODOWSKA UNIVERSITY IN LUBLIN,/jobs/360808,Behavioral_Data_Science,14 July 2025|/jobs/360808,False
416,PhD in Geotechnical Engineering - Enhancing Geotechnical Structure Design Through Interface Characterization and Pull-Out Test Interpretation - PIONEER-TOPIC#2025,France,13 July 2025,5 Sep 2025 - 12:00 (Europe/Paris),"#ContextAnchors, nails and bolts are commonly used in geotechnical structures. Made of steel bars, their primary function is to provide tensile resistance to soils or rocks, whose main resistance is generally under compression or shear. To be fully operative, these elements need to be bounded to the...",Université Gustave Eiffel,/jobs/360776,Behavioral_Data_Science,13 July 2025|/jobs/360776,False
418,"PhD position in the area of  “Light-induced Reactivity and Redox Transformations of Minium (Pb3O4, red lead),  an artists’ pigment employed in many historical periods”",Belgium,12 July 2025,2 Sep 2025 - 21:59 (UTC),"Let’s shape the future - University of AntwerpThe University of Antwerp is a dynamic, forward-thinking, European university. We offer innovative academic education to more than 20000 students, conduct pioneering scientific research and play an important service-providing role in society. We are one...",University of Antwerp,/jobs/360695,Behavioral_Data_Science,12 July 2025|/jobs/360695,False
419,PhD position: Real-Time Anomaly Detection in Electromagnetic Environments Using AI (MSCA PATTERN DC13),Belgium,11 July 2025,15 Aug 2025 - 23:59 (UTC),Research novel AI techniques for the real-time detection of abnormal behavior in electromagnetic environments,KU Leuven,/jobs/360351,Behavioral_Data_Science,11 July 2025|/jobs/360351,False
420,PhD Position for Advanced Nearest Neighbour Models for Active Matter,Netherlands,11 July 2025,10 Aug 2025 - 21:59 (UTC),Would you find it exciting to work on both theoretical and applied mathematics and experience how they can simultaneously advance each other? Would you enjoy working in an interdisciplinary research group? Would you like to work on a project that might resonate with multiple aspects of your...,University of Amsterdam (UvA) via AcademicTransfer,/jobs/360336,Behavioral_Data_Science,11 July 2025|/jobs/360336,False
421,PIONEER-TOPIC#2025: PhD in Chemo-Mechanics :Towards a better understanding of material ageing for enhancing the climate resilience of pavement surface,France,10 July 2025,5 Sep 2025 - 17:00 (Europe/Paris),"Introduction & contextIn recent decades, road networks — particularly in urban areas — have faced increasing challenges due to growing traffic demands, ageing infrastructure, and the accelerating impacts of climate change. Pavements are critical assets in urban mobility systems, required to provide...",Université Gustave Eiffel,/jobs/360317,Behavioral_Data_Science,10 July 2025|/jobs/360317,False
422,Post-doctoral researcher at the Centre of Excellence in Social Sciences (ERC Consolidator),Poland,10 July 2025,15 Sep 2025 - 23:59 (Europe/Warsaw),"Are you an expert in computational social science or computer science? Do you specialize in ML or LLMs, software development, and innovative online experiments? Are you interested in social media, their recommendation algorithms, polarization, and misinformation?We invite applications for the...",University of Warsaw,/jobs/360272,Behavioral_Data_Science,10 July 2025|/jobs/360272,False
423,PhD position - Biology,France,10 July 2025,25 Aug 2025 - 18:00 (Europe/Paris),La Rochelle University is recruiting within the Pelagis Laboratory for a 3-year doctoral contract on the following thesis subject: Impact of offshore wind farm construction on the movements and activities of grey and harbour seals in the English Channel.Key words: seals ; telemetry ; behaviour...,La Rochelle Université,/jobs/360206,Behavioral_Data_Science,10 July 2025|/jobs/360206,False
424,"Post doctoral position in Distributed, Explainable and Robust Anomaly Detection - 2 years",France,10 July 2025,31 Aug 2025 - 00:00 (Europe/Paris),"ABOUT TELECOM SUDPARISTelecom SudParis is a public graduate school for engineering, which has been recognized on the highest level in the domain of digital technology. The quality of its courses is founded on the scientific excellence of its faculty and on teaching techniques that emphasize project...",IMT - Institut Mines-Télécom,/jobs/360169,Behavioral_Data_Science,10 July 2025|/jobs/360169,False
425,Analyse de données de signalisation mobile pour la planification logistique urbaine // Mobile signaling data analysis for urban logistics planning,France,18 April 2025,29 Sep 2025 - 22:00 (UTC),"Contexte global et problématique du sujet Le secteur des transports est le principal contributeur aux émissions de gaz à effet de serre, responsables du réchauffement climatique. La planification urbaine joue un rôle crucial dans la réduction de ces émissions, surtout avec l'augmentation de la...",ABG  - Association Bernard Gregory,/jobs/337115,Behavioral_Data_Science,18 April 2025|/jobs/337115,False
428,Internship in Detecting Microarchitectural Side Channel Attacks into Microprocessor-based systems via Machine Learning,France,4 April 2025,31 Aug 2025 - 00:00 (UTC),"Introduction The continuous quest for performance has driven Systems on Chip (SoC) to incorporate advanced elements such as multiple cores, caches, and acceleration units. However, these additions often expose unexpected vulnerabilities. It has been demonstrated that by observing certain features...",HiPEAC,/jobs/332748,Behavioral_Data_Science,4 April 2025|/jobs/332748,False
429,PhD Position in Operando Spectroscopy on Environmental Gas Sensors,Germany,1 April 2025,31 Aug 2025 - 23:00 (Europe/Berlin),Research Assistant / PhD student (all genders) physical chemistry – Operando Spectroscopy,Technische Universitaet Darmstadt,/jobs/331504,Behavioral_Data_Science,1 April 2025|/jobs/331504,False
430,Post-Doctoral Associate in the Division of Science [Psychology] - Dr. Theodore Waters,United Arab Emirates,1 April 2025,31 Mar 2026 - 00:00 (UTC),Description The Division of Science at New York University Abu Dhabi is inviting applications for one fully-funded post-doctoral associate position in the area of developmental psychology. The position requires involvement in multiple longitudinal and experimental lab-based studies examining the...,Times Higher Education,/jobs/331329,Behavioral_Data_Science,1 April 2025|/jobs/331329,False
431,MSCA POSTDOCTORAL FELLOWSHIPS AT VU FACULTY OF COMMUNICATION (Multimodal Literacy; Democratic Engagement; Open Science Policy; Digital Piracy; Sustainable Publishing),Lithuania,31 March 2025,31 August 2025,"Vilnius University (VU) invites motivated researchers with a strong track record to prepare joint applications for  2025 Marie Skłodowska-Curie Actions Postdoctoral Fellowships (MSCA PF) call with a deadline on September 10, 2025. MSCA PF are among the flagship, most prestigious research...",Vilnius University,/jobs/hosting/msca-postdoctoral-fellowships-vu-faculty-communication-multimodal-literacy-democratic,Behavioral_Data_Science,31 March 2025|/jobs/hosting/msca-postdoctoral-fellowships-vu-faculty-communication-multimodal-literacy-democratic,False
432,Post-Doctoral Researcher in Proteomics & PTM Analysis,Spain,25 March 2025,8 Sep 2025 - 10:59 (Europe/Madrid),The Omics Sciences Unit at Eurecathttps://eurecat.org/en/field-of-knowledge/omic-sciences/is seeking a highly motivated and skilled post-doctoral researcher to join our cutting-edge research group. Our team focuses on developing innovative metabolomics and proteomics approaches using mass...,EURECAT,/jobs/329330,Behavioral_Data_Science,25 March 2025|/jobs/329330,False
433,Research Assistant Professor in the Faculty of Social Sciences,Hong Kong,11 March 2025,30 Dec 2025 - 00:00 (UTC),Ref.: 530951 Work type: Full-time Department: Faculty of Social Sciences (30000) Categories: Senior Research Staff & Post-doctoral Fellow Research Assistant Professor (holding the title of Project Manager (Capacity Building and Innovation)) in the Faculty of Social Sciences We now invite...,Times Higher Education,/jobs/324323,Behavioral_Data_Science,11 March 2025|/jobs/324323,False
436,FMUP| One Assistant Professor | Psychiatry and Mental Health| Notice 1384/2025- Pr. 341 (2023.13694.TENURE.075),Portugal,30 July 2025,11 Sep 2025 - 23:59 (Europe/Lisbon),"UNIVERSITY OF PORTOPublic Notice No. 1384/2025 Doctor Maria de Fátima de Sousa Basto Vieira, Full Professor of the Faculty of Arts and Humanities of the University of Porto, Vice-Rector of the same University: I hereby make known that, by my order of July 21, 2025, in the use of competence delegated...",Universidade do Porto – HR,/jobs/365585,Decision_Neuroscience,30 July 2025|/jobs/365585,False
438,RESEARCH FELLOWSHIP | PS1521 | 1119253,Portugal,30 July 2025,25 Aug 2025 - 23:59 (Europe/Lisbon),"Call for Postdoctoral Research AssignmentThe University of Coimbra opens a call for the assignment of a postdoctoral research grant, with one position(s), under the project PS1521, title Development of pathophysiological modelsThe call is governed by this Notice of Opening, the University of Coimbra...",Universidade de Coimbra,/jobs/365550,Decision_Neuroscience,30 July 2025|/jobs/365550,False
444,PRINCIPAL RESEARCHER FOR THE i3S ASSOCIATED LABORATORY,Portugal,28 July 2025,1 Sep 2025 - 23:59 (Europe/Lisbon),"A call for applications is open for a principal investigator at i3S, to perform functions in line with the strategic objectives of the Institute for Health Research and Innovation - i3S-LA Associated Laboratory, namely in the Neurobiology and Neurologic Disorders Program and specifically in the...",Instituto de Investigação e Inovação em Saúde da Universidade do Porto (i3S),/jobs/364802,Decision_Neuroscience,28 July 2025|/jobs/364802,False
445,Postdoctoral position – Engineering Applications in Innovative Structural and Mechanical Composites Research,Spain,1 July 2025,1 Dec 2025 - 23:59 (Europe/Brussels),"AMADE (Analysis and Advanced Materials for Structural Design), is a research group from the University of Girona (UdG) internationally recognised for its leadership in innovation and scientific excellence on composite materials. We are dedicated to developing advanced solutions in industrial sectors...",AMADE research group,/jobs/357249,Behavioral_Data_Science,1 July 2025|/jobs/357249,False
447,Postdoc position in Animal Migration Ecology,Czech Republic,1 July 2025,10 Aug 2025 - 23:00 (UTC),"We are a research campus with a strong tradition in biosciences focused on complex ecological, evolutionary & developmental aspects of LIFE. The Faculty of Science, University of South Bohemia in České Budějovice, Czech Republic, is seeking a motivated Post-doctoral Researcher in Animal Migration...",jobRxiv,/jobs/357026,Behavioral_Data_Science,1 July 2025|/jobs/357026,False
448,Doctoral Researcher in Experimental studies on Hydrogen and Methane Combustion in Argon,Finland,1 July 2025,29 Aug 2025 - 00:00 (UTC),"Aalto University is where science and art meet technology and business. We shape a sustainable future by sparking the game changers of tomorrow and by creating novel solutions to major global challenges. Our community is made up of 13,000 students, 400 professors and close to 4 500 other staff...",Aalto University,/jobs/357176,Behavioral_Data_Science,1 July 2025|/jobs/357176,False
449,Associate Professor in Metal Forming,Norway,30 June 2025,17 Aug 2025 - 23:59 (Europe/Oslo),"About the jobThe Associate Professorship is responsible for teaching and research in mechanical engineering with a primary focus on metal forming processes and quality of formed metal products. The candidate will be responsible to run, maintain and develop aluminum forming activities within the...",NTNU Norwegian University of Science and Technology,/jobs/356939,Behavioral_Data_Science,30 June 2025|/jobs/356939,False
450,Postdoctoral Fellow in Political Communication/Political Psychology,Norway,30 June 2025,15 Sep 2025 - 23:59 (Europe/Oslo),"About the positionAre you passionate about understanding the digital forces shaping our public sphere? Join our cutting-edge research team at NTNU to tackle critical questions about echo chambers, filter bubbles, and political polarization, especially among younger generations.Take your research...",NTNU Norwegian University of Science and Technology,/jobs/356934,Behavioral_Data_Science,30 June 2025|/jobs/356934,False
451,Predoctoral Researcher  (2025DILIFRUA84),Spain,30 June 2025,15 Sep 2025 - 23:59 (Europe/Madrid),"Job positionPredoctoral ResearcherApplications are invited for a predoctoral researcher to undertake a PhD affiliated to a large interdisciplinary project: ‘Who Counts? Incorporating a ‘missing minority’ to re-examine the profile, drivers and depth of poverty across Europe’. Funded by the European...",Universitat Autònoma de Barcelona,/jobs/356896,Behavioral_Data_Science,30 June 2025|/jobs/356896,False
452,Three multidisciplinary postdoctoral scholarships (2 years),Sweden,29 June 2025,18 Sep 2025 - 21:59 (UTC),The Integrated Science Lab (IceLab) (icelab.se) jointly with several departments at Umeå University and SLU offer three postdoctoral scholarships that will be affiliated with one of six possible multidisciplinary projects. The ideal postdocs will have expertise in some of the following areas...,Umeå Stipendier,/jobs/356767,Behavioral_Data_Science,29 June 2025|/jobs/356767,False
453,Postdoc Position: Evolution and Organization of Ant Olfactory Systems,Germany,28 June 2025,31 Aug 2025 - 23:00 (UTC),"We are seeking a highly motivated postdoctoral researcher to join an interdisciplinary team focused on investigating the evolution and organization of the olfactory system in ants. The team includes Carlotta Martelli (neurobiology and computational biology), Hugo Darras (evolution and genomics), and...",jobRxiv,/jobs/356519,Behavioral_Data_Science,28 June 2025|/jobs/356519,False
454,Postdoc in alloy design and materials modelling in AM,Sweden,28 June 2025,8 Aug 2025 - 21:59 (UTC),Job descriptionAt the Department of Materials Science and Engineering we are seeking a highly motivated Postdoctoral Researcher to join our research team in material modelling and alloy development for powder and wire based additive manufacturing (AM). Despite its already explored vast potential...,Academic Positions,/jobs/356712,Behavioral_Data_Science,28 June 2025|/jobs/356712,False
457,"PhD Position – Neuropsychopharmacology in COMETE (CAEN, France)",France,14 April 2025,15 Aug 2025 - 23:59 (Europe/Paris),"We are thrilled to announce an opening for a highly motivated candidate for a 3-year PhD position. The research project will focus on Major Depressive Disorder (MDD), a major global health challenge affecting approximately 20% of the population over their lifetime. Current treatments often lack...",University of Caen Normandie,/jobs/335663,Cognitive_Neuroscience,14 April 2025|/jobs/335663,False
459,"Research grants — R&D activities to be carried out by for students pursuing a Master's degree in Psychology and/or Neuropsychology (Article 6, FCT Regulation 950/2019) (2 vacancies)",Portugal,8 March 2025,30 Mar 2026 - 00:00 (Europe/Lisbon),REFERENCE: BI/MUNDIS/1/2024 Applications are now open for the award of **two (2) Research Scholarships** for students pursuing a Master's degree in Psychology and/or Neuropsychology. These scholarships are offered within the scope of the project titled **“MI-RICORDO: Transcultural and...,MUNDIS,/jobs/323880,Cognitive_Neuroscience,8 March 2025|/jobs/323880,False
461,Postdoctoral researcher in environmental and perinatal epidemiology,France,28 July 2025,24 Aug 2025 - 23:59 (Europe/Brussels),"A growing body of evidence indicates that exposure to neurotoxic chemicals, particularly during prenatal development, is a risk factor for the onset of neurodevelopmental disorders in children. These disorders can reduce quality of life, affect school performance and well-being, and generate...",INSERM UMR1085 Irset (Research Institute for Environmental and occupational Health),/jobs/364691,Behavioral_Data_Science,28 July 2025|/jobs/364691,False
462,Postdoc Goose Impact - NIOO-KNAW - Wageningen,Netherlands,27 July 2025,1 Sep 2025 - 21:59 (UTC),The NIOO-KNAW is conducting research within a consortium that provides building blocks for the adaptive management of geese in an international setting. One of these building blocks is a model that can predict grazing by geese in space and time. To ensure that the model is a good reflection of the...,AcademicTransfer,/jobs/364584,Behavioral_Data_Science,27 July 2025|/jobs/364584,False
465,Post-doc position Behavioural ecology in a changing and urbanizing world,Belgium,26 July 2025,28 Aug 2025 - 21:59 (UTC),"Let’s shape the future – University of AntwerpThe University of Antwerp is a dynamic, forward-thinking, European university. We offer an innovative academic education to more than 20000 students, conduct pioneering scientific research and play an important service-providing role in society. We are...",University of Antwerp,/jobs/364547,Behavioral_Data_Science,26 July 2025|/jobs/364547,False
466,Call for PhD Candidate - Strengthening of stone masonry after fire- In the framework of HeaRD: Heritage Assessment for Sustainable Rehabilitation,France,25 July 2025,25 Aug 2025 - 12:00 (Europe/Paris),Context: This PhD position is part of a research initiative funded by the CY Horizon program under the CY Generations project financed by ANR within its PIA 4 ExcellencES call (Excellence in all its forms). The project aims to support a PhD student in addressing open research questions that will...,CY Cergy Paris University,/jobs/364339,Behavioral_Data_Science,25 July 2025|/jobs/364339,False
467,Assistant professor (Post-doc/Research Adiunkt) in NCN OPUS 26 project “Tunable Photonic Structures Emulating Low-Dimensional Semiconductor Systems”,Poland,25 July 2025,28 Aug 2025 - 23:59 (Europe/Brussels),"COMPETITION OPENING DATE 29 JULY, 2025The research work will be carried out in the Department of Solid State Physics at the Institute of Experimental Physics, Faculty of Physics, University of Warsaw, under the NCN OPUS 26 Project No. GR 7248 entitled: “Tunable Photonic Structures Emulating Low...",University of Warsaw,/jobs/364333,Behavioral_Data_Science,25 July 2025|/jobs/364333,False
468,PhD Position (M/F) – Digital Twin for the Adaptation of Railway  Tracks to Climate Change,France,25 July 2025,1 Sep 2025 - 23:59 (Europe/Paris),"Develop cutting-edge skills in numerical simulation, machine learning algorithm development, and digital twin architecture to support the future of sustainable rail mobility.",COLAS RAIL,/jobs/364292,Behavioral_Data_Science,25 July 2025|/jobs/364292,False
469,Post-doctoral researcher in data assimilation for wildland fire modeling (M/F),France,25 July 2025,14 Aug 2025 - 23:59 (UTC),The postdoctoral researcher will be part of the CECI team responsible for developing and evaluating a data assimilation workflow relevant for wildland fire behavior prediction. He/she will work under the supervision of Mélanie Rochoux within the framework of the ANR FIREFLY project. He/she will be a...,CNRS - National Center for Scientific Research,/jobs/364208,Behavioral_Data_Science,25 July 2025|/jobs/364208,False
491,Head of cabinet (F/M),France,10 July 2025,31 Aug 2025 - 00:00 (Europe/Paris),"The Paris Brain Institute (ICM) is a private foundation recognized as a public utility, dedicated to fundamental and clinical research on the nervous system. On a single site, 900 researchers, engineers and doctors cover the full range of neurological disciplines, with the aim of accelerating...",Institut du Cerveau et de la Moelle épinière,/jobs/360241,Decision_Neuroscience,10 July 2025|/jobs/360241,False
495,Position for Tenure-Track Associate Professor or Tenure-Track Assistant Professor in Institute for Frontier Science Initiative【Faculty Position for Female】,Japan,27 June 2025,16 Sep 2025 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project The Kanazawa University Institute for Frontier Science Initiative invites applications for a full-time Tenure-Track Associate Professor or Tenure-Track Assistant Professor...,JREC-IN Portal,/jobs/356010,Decision_Neuroscience,27 June 2025|/jobs/356010,False
499,PhD position in neuroimmunology,Belgium,25 June 2025,20 Aug 2025 - 21:59 (UTC),"Let’s shape the future – University of AntwerpThe Gut-Immune-Brain Axis Lab (Prof. Seppe De Schepper, VIB-UAntwerp) and the Brain and Systems Immunology Lab (Prof. Kiavash Movahedi, VUB) have a vacancy for a full-time (100%) co-joint doctoral project to study tissue-resident macrophages in...",University of Antwerp,/jobs/355160,Decision_Neuroscience,25 June 2025|/jobs/355160,False
501,Lecturer in Statistics,United Kingdom,25 July 2025,30 Sep 2025 - 00:00 (UTC),"About Us The Department of Mathematics at King’s College London is one of five departments within the Faculty of Natural, Mathematical & Engineering Sciences. King’s College London is one of the world’s leading universities, currently ranked 31st globally in the QS World University Rankings. Founded...",Times Higher Education,/jobs/364194,Time-series_analysis,25 July 2025|/jobs/364194,False
502,Post-Doctoral Fellowship in Remote Phenology and Climate Change in Brazil,Brazil,24 July 2025,15 Aug 2025 - 23:59 (America/Sao_Paulo),"We are looking for a highly motivated researcher, with a history of research in the areas of Ecology, Phenology and Remote Sensing (land surface and near-surface phenology) and the ability to work collaboratively. This is a postdoc position to work at the São Paulo State University's Institute of...",Universidade Estadual Paulista (UNESP),/jobs/363889,Time-series_analysis,24 July 2025|/jobs/363889,False
503,Post-Doctoral Fellowship in Remote Phenology and Climate Change,Brazil,23 July 2025,15 Aug 2025 - 23:59 (UTC),"We are looking for a highly motivated researcher, with research history in Ecology, Phenology and Remote Sensing (land surface and near-surface phenology) and ability to work collaboratively. Candidates must present a doctorate in Ecology or related areas (e.g. Remote Sensing, Plant Biology...","FAPESP, SAO PAULO RESEARCH FOUNDATION",/jobs/363285,Time-series_analysis,23 July 2025|/jobs/363285,False
505,Postdoc Multiscale Sensing and AI for Tailings Storage Facility Monitoring,Netherlands,20 July 2025,27 Aug 2025 - 21:59 (UTC),Job descriptionLooking for an impactful Postdoc opportunity in sustainable development?The global transition toward a low-carbon economy has triggered a sharp increase in the demand for critical minerals. This surge places mounting pressure on the mining sector to not only scale up production but to...,Delft University of Technology via AcademicTransfer,/jobs/362664,Time-series_analysis,20 July 2025|/jobs/362664,False
506,"Health Data Science, Medical Statistics: Fully Funded Studentship in Population and Health Data Science",United Kingdom,16 July 2025,11 Aug 2025 - 23:59 (Europe/London),"The Child and adolescent Health Impacts of Learning Indoor environments under net zero (CHILI) Hub is a program funded by the MRC and NIHR, the goal of which is to understand the health effects we can expect to see as the UK transitions to net-zero. It is a collaboration between University College...",Swansea University,/jobs/361692,Time-series_analysis,16 July 2025|/jobs/361692,False
507,Improving Dry Ozone Deposition Parameterizations for Atmospheric Models,Israel,11 July 2025,20 Aug 2025 - 00:00 (Europe/Athens),"Tropospheric ozone is a major air pollutant that harms human health, damages natural and agricultural vegetation, significantly influences climate, and plays a key role in the removal of other air pollutants from the atmosphere. Dry deposition, particularly to vegetation, accounts for a substantial...",The Hebrew Univesity,/jobs/360534,Time-series_analysis,11 July 2025|/jobs/360534,False
509,Project assistant without doctorate / PhD Position (m/f/d) in data aggregation and optimization for net-zero power systems,Austria,11 July 2025,17 Aug 2025 - 23:00 (UTC),Your ResponsibilitiesWe would be delighted if you became part of our team at the Institute for Electricity Economics and Energy Innovation. Come and work with us as you pursue your PhD in modeling of energy systems on the path towards a sustainable future. The position is initially limited to 6...,Technische Universität Graz (TU Graz) / Graz University of Technology,/jobs/360357,Time-series_analysis,11 July 2025|/jobs/360357,False
510,Pulsar and fast transient studies in radio domain,France,11 July 2025,10 Aug 2025 - 17:00 (Europe/Paris),"Pulsars are highly magnetized, rapidly rotating neutron stars. Thanks to the extreme stability of pulsar rotation, pulsars are considered “cosmic clocks” with a wide range of astrophysical applications. One notable example is the measurement with high evidence for Gravitational Waves via the Pulsar...",LPC2E/CNRS,/jobs/360318,Time-series_analysis,11 July 2025|/jobs/360318,False
521,PRINCIPAL RESEARCHER FOR THE i3S ASSOCIATED LABORATORY,Portugal,28 July 2025,1 Sep 2025 - 23:59 (Europe/Lisbon),"A call for applications is open for a principal investigator at i3S, to perform functions in line with the strategic objectives of the Institute for Health Research and Innovation - i3S-LA Associated Laboratory, namely in the Neurobiology and Neurologic Disorders Program and specifically in...",Instituto de Investigação e Inovação em Saúde da Universidade do Porto (i3S),/jobs/364801,Decision_Neuroscience,28 July 2025|/jobs/364801,False
523,Assistant Professor (tenure-track),Canada,24 July 2025,15 Sep 2025 - 22:00 (UTC),"At UBC, we believe that attracting and sustaining a diverse workforce is key to the successful pursuit of excellence in research, innovation, and learning for all faculty, staff and students. Our commitment to employment equity helps achieve inclusion and fairness, brings rich diversity to UBC as a...",The University of British Columbia,/jobs/363870,Decision_Neuroscience,24 July 2025|/jobs/363870,False
525,An Associate Professor or Assistant Professor position in the research field of Data Science,Japan,24 July 2025,15 Oct 2025 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project The Faculty of Pharmacy at Kanazawa University strives to enhance education and research in pharmacy. To strengthen the research organization promoting the research project...,JREC-IN Portal,/jobs/363742,Decision_Neuroscience,24 July 2025|/jobs/363742,False
528,2 Master Research Fellowships,Portugal,14 July 2025,14 Aug 2025 - 23:59 (Europe/Lisbon),EDITAL N.º 002/2025OPEN CALL FOR RESEARCH GRANT APPLICATION WITHIN THE TERMS LAID DOWN OF THE REGULATIONS FOR RESEARCH SCHOLARSHIPS OF THE ASSOCIATION FOR THE DEVELOPMENT OF THE ACADEMIC CENTER FOR RESEARCH AND BIOMEDICAL TRAINING OF THE ALGARVE (ADABC)TITLE: Research Fellowships - 2It is now open a...,"Associação para o Desenvolvimento do Centro Académico de Investigação e Formação Biomédica do Algarve, AD-ABC",/jobs/360890,Decision_Neuroscience,14 July 2025|/jobs/360890,False
531,NOVA Information Management School Is Now Accepting and Supporting Applications for MSCA PF 2025,Portugal,22 May 2025,10 September 2025,The MagIC Research Centre at NOVA Information Management School is welcoming applications from talented postdoctoral researchers interested in applying for the Marie Skłodowska-Curie Postdoctoral Fellowships (Marie Curie PF) with MagIC as their host institution. Are you a postdoctoral researcher...,NOVA Information Management School (NOVA IMS),/jobs/hosting/nova-information-management-school-now-accepting-and-supporting-applications-msca-pf,Behavioral_Data_Science,22 May 2025|/jobs/hosting/nova-information-management-school-now-accepting-and-supporting-applications-msca-pf,False
533,Research Engineer (Embedded System Development With Additive Manufacturing) - HHJ1,Singapore,17 May 2025,31 Dec 2025 - 00:00 (UTC),"As a University of Applied Learning, SIT works closely with industry in our research pursuits. Our research staff will have the opportunity to be equipped with applied research skill sets that are relevant to industry demands while working on research projects in SIT. We have an opening for a highly...",Times Higher Education,/jobs/344954,Behavioral_Data_Science,17 May 2025|/jobs/344954,False
534,PhD Doing diversity: street-level decisions in superdiverse neighbourhoods,Netherlands,16 May 2025,31 Aug 2025 - 21:59 (UTC),"New levels of migration and mobility have changed the face of European cities, such as Bilbao. This had led to changing ‘superdiverse’ social realities, especially in ‘majority-minority’ neighbourhoods. The novelty of this emerging situation creates challenging circumstances particularly for ‘street...",Erasmus University Rotterdam via AcademicTransfer,/jobs/344272,Behavioral_Data_Science,16 May 2025|/jobs/344272,False
535,"One position open for a professor (Tohoku University, Graduate School of Engineering, Department of Civil and Environmental Engineering, Division of Regional Systems)",Japan,16 May 2025,7 Aug 2025 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project Recruitment of a Professor in Advanced Infrastructure Systemshttps://www.civil.tohoku.ac.jp/recruit.html[Work content and job description] Specialized field: [Advanced...,JREC-IN Portal,/jobs/344200,Behavioral_Data_Science,16 May 2025|/jobs/344200,False
536,Postdoctoral Researcher - Electrical Characterization of 3D Integrated Ferroelectric Memories,Belgium,14 May 2025,14 Aug 2025 - 23:59 (Europe/Brussels),Electrical characterization and modeling of new types of 3D integrated ferroelectric memories that are prototyped in imec’s world-renowned 300mm R&D facility.What you will doMemories are an essential building block for all electronic systems and great efforts are being made by the industry and...,IMEC,/jobs/343732,Behavioral_Data_Science,14 May 2025|/jobs/343732,False
537,Postdoctoral Position in AI-Driven Materials Design: Pushing Battery Boundaries,Spain,8 May 2025,30 October 2025,"USP-CEU welcomes early stage postdoctoral researchers with an excellent track record, to apply to the European Commission Marie Sklodowska-Curie (MSCA-25) Postodoctoral Felloships or any other R2 reseach calls, such as: Juan de la Cierva (Spanish Plan for Scientific and Technical Research and......",CEU San Pablo University,/jobs/hosting/postdoctoral-position-ai-driven-materials-design-pushing-battery-boundaries,Behavioral_Data_Science,8 May 2025|/jobs/hosting/postdoctoral-position-ai-driven-materials-design-pushing-battery-boundaries,False
540,POST-DOC POSITION (Assistant Professor) in the project SONATA,Poland,2 May 2025,31 Aug 2025 - 00:00 (Europe/Warsaw),"Post-doc position available at the Faculty of Chemistry and Pharmacy, University of Opole, within the National Science Center (NCN) SONATA 19 Project no. 2023/51/D/ST5/00369“Exploring Azapyrene Derivatives as Structural Isosteres of Pyrene: Innovative Approaches to the Synthesis and Characterisation...",University of Opole,/jobs/340591,Behavioral_Data_Science,2 May 2025|/jobs/340591,False
544,Post-doctoral Fellow in the Division of Neurology of the Department of Medicine,Hong Kong,10 July 2025,30 Sep 2025 - 00:00 (UTC),"Ref.: 532564 Work type: Full-time Department: Department of Medicine, School of Clinical Medicine (20600) Categories: Senior Research Staff & Post-doctoral Fellow, Research Staff Post-doctoral Fellow in the Division of Neurology of the Department of Medicine, School of Clinical Medicine (Ref...",Times Higher Education,/jobs/360091,Neuroimaging_Science,10 July 2025|/jobs/360091,False
551,Postdoc in ground motion data analysis and broad-band synthetic seismograms,France,1 August 2025,31 Aug 2026 - 23:59 (Europe/Brussels),"Joining the French Geological Survey (BRGM) means becoming part of France’s leading public institution for Earth Science applications bringing together 1,000 wholeheartedly committed experts across 29 bases in Mainland and Overseas France. BRGM focuses on enhancing geological knowledge and...",BRGM,/jobs/366092,Time-series_analysis,1 August 2025|/jobs/366092,False
552,Scuola Superiore Sant’Anna - Identification of causal effects in  macroeconomics: methods and empirical  analysis,Italy,1 August 2025,8 Sep 2025 - 12:00 (UTC),"The research project focuses on evaluating the macroeconomic effects of shocks or policy interventions involving key variables such as energy prices, uncertainty, and economic or fiscal policy instruments. The objective is to analyze the evolution of these effects over time through an empirical...","Italian Ministry of Education, University and Research",/jobs/366039,Time-series_analysis,1 August 2025|/jobs/366039,False
553,Postdoctoral Researcher in Marine Geosciences and Coastal Dynamics,France,31 July 2025,27 Aug 2025 - 23:59 (Europe/Brussels),"Joining the French Geological Survey (BRGM) means becoming part of France’s leading public institution for Earth Science applications bringing together 1,000 wholeheartedly committed experts across 29 bases in Mainland and Overseas France. BRGM focuses on enhancing geological knowledge and...",BRGM,/jobs/365863,Time-series_analysis,31 July 2025|/jobs/365863,False
